id,word,part_of_speech,cefr_level,phonetic_uk,phonetic_us,thai_meaning,example_sentence,example_translation,category,distractors,audio_key,note,raw_entry
901,ability,n.,A2,,,,,,General,,ability,,ability n.
902,able,adj.,A2,,,,,,General,,able,,able adj.
903,abroad,adv.,A2,,,,,,General,,abroad,,abroad adv.
904,accept,v.,A2,,,,,,General,,accept,,accept v.
905,accident,n.,A2,,,,,,General,,accident,,accident n.
906,according to,prep.,A2,,,,,,General,,according_to,,according to prep.
907,achieve,v.,A2,,,,,,General,,achieve,,achieve v.
908,act,v.,A2,,,,,,General,,act,,act v.
909,active,adj.,A2,,,,,,General,,active,,active adj.
910,actually,adv.,A2,,,,,,General,,actually,,actually adv.
911,adult,adj.,A2,,,,,,General,,adult,,adult adj.
912,advantage,n.,A2,,,,,,General,,advantage,,advantage n.
913,adventure,n.,A2,,,,,,General,,adventure,,adventure n.
914,advertise,v.,A2,,,,,,General,,advertise,,advertise v.
915,advertisement,n.,A2,,,,,,General,,advertisement,,advertisement n.
916,advertising,n.,A2,,,,,,General,,advertising,,advertising n.
917,affect,v.,A2,,,,,,General,,affect,,affect v.
918,after,"conj., adv.",A2,,,,,,General,,after,,"after conj., adv."
919,against,prep.,A2,,,,,,General,,against,,against prep.
920,ah,exclam.,A2,,,,,,General,,ah,,ah exclam.
921,airline,n.,A2,,,,,,General,,airline,,airline n.
922,alive,adj.,A2,,,,,,General,,alive,,alive adj.
923,all,adv.,A2,,,,,,General,,all,,all adv.
924,all right,"adj./adv., exclam.",A2,,,,,,General,,all_right,,"all right adj./adv., exclam."
925,allow,v.,A2,,,,,,General,,allow,,allow v.
926,almost,adv.,A2,,,,,,General,,almost,,almost adv.
927,alone,adj./adv.,A2,,,,,,General,,alone,,alone adj./adv.
928,along,"prep., adv.",A2,,,,,,General,,along,,"along prep., adv."
929,already,adv.,A2,,,,,,General,,already,,already adv.
930,alternative,n.,A2,,,,,,General,,alternative,,alternative n.
931,although,conj.,A2,,,,,,General,,although,,although conj.
932,among,prep.,A2,,,,,,General,,among,,among prep.
933,amount,n.,A2,,,,,,General,,amount,,amount n.
934,ancient,adj.,A2,,,,,,General,,ancient,,ancient adj.
935,ankle,n.,A2,,,,,,General,,ankle,,ankle n.
936,any,adv.,A2,,,,,,General,,any,,any adv.
937,anybody,pron.,A2,,,,,,General,,anybody,,anybody pron.
938,any more,adv.,A2,,,,,,General,,any_more,,any more adv.
939,anyway,adv.,A2,,,,,,General,,anyway,,anyway adv.
940,anywhere,"adv., pron.",A2,,,,,,General,,anywhere,,"anywhere adv., pron."
941,app,n.,A2,,,,,,General,,app,,app n.
942,appear,v.,A2,,,,,,General,,appear,,appear v.
943,appearance,n.,A2,,,,,,General,,appearance,,appearance n.
944,apply,v.,A2,,,,,,General,,apply,,apply v.
945,architect,n.,A2,,,,,,General,,architect,,architect n.
946,architecture,n.,A2,,,,,,General,,architecture,,architecture n.
947,argue,v.,A2,,,,,,General,,argue,,argue v.
948,argument,n.,A2,,,,,,General,,argument,,argument n.
949,army,n.,A2,,,,,,General,,army,,army n.
950,arrange,v.,A2,,,,,,General,,arrange,,arrange v.
951,arrangement,n.,A2,,,,,,General,,arrangement,,arrangement n.
952,as,"adv., conj.",A2,,,,,,General,,as,,"as adv., conj."
953,asleep,adj.,A2,,,,,,General,,asleep,,asleep adj.
954,assistant,"n., adj.",A2,,,,,,General,,assistant,,"assistant n., adj."
955,athlete,n.,A2,,,,,,General,,athlete,,athlete n.
956,attack,"n., v.",A2,,,,,,General,,attack,,"attack n., v."
957,attend,v.,A2,,,,,,General,,attend,,attend v.
958,attention,"n., exclam.",A2,,,,,,General,,attention,,"attention n., exclam."
959,attractive,adj.,A2,,,,,,General,,attractive,,attractive adj.
960,audience,n.,A2,,,,,,General,,audience,,audience n.
961,author,n.,A2,,,,,,General,,author,,author n.
962,available,adj.,A2,,,,,,General,,available,,available adj.
963,average,"adj., n.",A2,,,,,,General,,average,,"average adj., n."
964,avoid,v.,A2,,,,,,General,,avoid,,avoid v.
965,award,n.,A2,,,,,,General,,award,,award n.
966,awful,adj.,A2,,,,,,General,,awful,,awful adj.
967,back,adj.,A2,,,,,,General,,back,,back adj.
968,background,n.,A2,,,,,,General,,background,,background n.
969,badly,adv.,A2,,,,,,General,,badly,,badly adv.
970,bar,n.,A2,,,,,,General,,bar,,bar n.
971,baseball,n.,A2,,,,,,General,,baseball,,baseball n.
972,based,adj.,A2,,,,,,General,,based,,based adj.
973,basketball,n.,A2,,,,,,General,,basketball,,basketball n.
974,bean,n.,A2,,,,,,General,,bean,,bean n.
975,bear,n.,A2,,,,,,General,,bear,animal,bear (animal) n.
976,beat,v.,A2,,,,,,General,,beat,,beat v.
977,beef,n.,A2,,,,,,General,,beef,,beef n.
978,before,"conj., adv.",A2,,,,,,General,,before,,"before conj., adv."
979,behave,v.,A2,,,,,,General,,behave,,behave v.
980,behaviour,n.,A2,,,,,,General,,behaviour,,behaviour n.
981,belong,v.,A2,,,,,,General,,belong,,belong v.
982,belt,n.,A2,,,,,,General,,belt,,belt n.
983,benefit,n.,A2,,,,,,General,,benefit,,benefit n.
984,best,"adv., n.",A2,,,,,,General,,best,,"best adv., n."
985,better,adv.,A2,,,,,,General,,better,,better adv.
986,between,adv.,A2,,,,,,General,,between,,between adv.
987,billion,number,A2,,,,,,General,,billion,,billion number
988,bin,n.,A2,,,,,,General,,bin,,bin n.
989,biology,n.,A2,,,,,,General,,biology,,biology n.
990,birth,n.,A2,,,,,,General,,birth,,birth n.
991,biscuit,n.,A2,,,,,,General,,biscuit,,biscuit n.
992,bit,n.,A2,,,,,,General,,bit,,bit n.
993,blank,"adj., n.",A2,,,,,,General,,blank,,"blank adj., n."
994,blood,n.,A2,,,,,,General,,blood,,blood n.
995,blow,v.,A2,,,,,,General,,blow,,blow v.
996,board,n.,A2,,,,,,General,,board,,board n.
997,boil,v.,A2,,,,,,General,,boil,,boil v.
998,bone,n.,A2,,,,,,General,,bone,,bone n.
999,book,v.,A2,,,,,,General,,book,,book v.
1000,borrow,v.,A2,,,,,,General,,borrow,,borrow v.
1001,boss,n.,A2,,,,,,General,,boss,,boss n.
1002,bottom,"n., adj.",A2,,,,,,General,,bottom,,"bottom n., adj."
1003,bowl,n.,A2,,,,,,General,,bowl,,bowl n.
1004,brain,n.,A2,,,,,,General,,brain,,brain n.
1005,bridge,n.,A2,,,,,,General,,bridge,,bridge n.
