id,word,part_of_speech,cefr_level,phonetic_uk,phonetic_us,thai_meaning,example_sentence,example_translation,category,distractors,audio_key,note,raw_entry
1773,absolutely,adv.,B1,,,,,,General,,absolutely,,absolutely adv.
1774,academic,adj.,B1,,,,,,General,,academic,,academic adj.
1775,access,"n., v.",B1,,,,,,General,,access,,"access n., v."
1776,accommodation,n.,B1,,,,,,General,,accommodation,,accommodation n.
1777,account,n.,B1,,,,,,General,,account,,account n.
1778,achievement,n.,B1,,,,,,General,,achievement,,achievement n.
1779,act,n.,B1,,,,,,General,,act,,act n.
1780,ad,n.,B1,,,,,,General,,ad,,ad n.
1781,addition,n.,B1,,,,,,General,,addition,,addition n.
1782,admire,v.,B1,,,,,,General,,admire,,admire v.
1783,admit,v.,B1,,,,,,General,,admit,,admit v.
1784,advanced,adj.,B1,,,,,,General,,advanced,,advanced adj.
1785,advise,v.,B1,,,,,,General,,advise,,advise v.
1786,afford,v.,B1,,,,,,General,,afford,,afford v.
1787,age,v.,B1,,,,,,General,,age,,age v.
1788,aged,adj.,B1,,,,,,General,,aged,,aged adj.
1789,agent,n.,B1,,,,,,General,,agent,,agent n.
1790,agreement,n.,B1,,,,,,General,,agreement,,agreement n.
1791,ahead,adv.,B1,,,,,,General,,ahead,,ahead adv.
1792,aim,"v., n.",B1,,,,,,General,,aim,,"aim v., n."
1793,alarm,n.,B1,,,,,,General,,alarm,,alarm n.
1794,album,n.,B1,,,,,,General,,album,,album n.
1795,alcohol,n.,B1,,,,,,General,,alcohol,,alcohol n.
1796,alcoholic,adj.,B1,,,,,,General,,alcoholic,,alcoholic adj.
1797,alternative,adj.,B1,,,,,,General,,alternative,,alternative adj.
1798,amazed,adj.,B1,,,,,,General,,amazed,,amazed adj.
1799,ambition,n.,B1,,,,,,General,,ambition,,ambition n.
1800,ambitious,adj.,B1,,,,,,General,,ambitious,,ambitious adj.
1801,analyse,v.,B1,,,,,,General,,analyse,,analyse v.
1802,analysis,n.,B1,,,,,,General,,analysis,,analysis n.
1803,announce,v.,B1,,,,,,General,,announce,,announce v.
1804,announcement,n.,B1,,,,,,General,,announcement,,announcement n.
1805,annoy,v.,B1,,,,,,General,,annoy,,annoy v.
1806,annoyed,adj.,B1,,,,,,General,,annoyed,,annoyed adj.
1807,annoying,adj.,B1,,,,,,General,,annoying,,annoying adj.
1808,apart,adv.,B1,,,,,,General,,apart,,apart adv.
1809,apologize,v.,B1,,,,,,General,,apologize,,apologize v.
1810,application,n.,B1,,,,,,General,,application,,application n.
1811,appointment,n.,B1,,,,,,General,,appointment,,appointment n.
1812,appreciate,v.,B1,,,,,,General,,appreciate,,appreciate v.
1813,approximately,adv.,B1,,,,,,General,,approximately,,approximately adv.
1814,arrest,"v., n.",B1,,,,,,General,,arrest,,"arrest v., n."
1815,arrival,n.,B1,,,,,,General,,arrival,,arrival n.
1816,assignment,n.,B1,,,,,,General,,assignment,,assignment n.
1817,assist,v.,B1,,,,,,General,,assist,,assist v.
1818,atmosphere,n.,B1,,,,,,General,,atmosphere,,atmosphere n.
1819,attach,v.,B1,,,,,,General,,attach,,attach v.
1820,attitude,n.,B1,,,,,,General,,attitude,,attitude n.
1821,attract,v.,B1,,,,,,General,,attract,,attract v.
1822,attraction,n.,B1,,,,,,General,,attraction,,attraction n.
1823,authority,n.,B1,,,,,,General,,authority,,authority n.
1824,average,v.,B1,,,,,,General,,average,,average v.
1825,award,v.,B1,,,,,,General,,award,,award v.
1826,aware,adj.,B1,,,,,,General,,aware,,aware adj.
1827,backwards,adv.,B1,,,,,,General,,backwards,,backwards adv.
1828,bake,v.,B1,,,,,,General,,bake,,bake v.
1829,balance,"n., v.",B1,,,,,,General,,balance,,"balance n., v."
1830,ban,"v., n.",B1,,,,,,General,,ban,,"ban v., n."
1831,bank,n.,B1,,,,,,General,,bank,river,bank (river) n.
1832,base,"n., v.",B1,,,,,,General,,base,,"base n., v."
1833,basic,adj.,B1,,,,,,General,,basic,,basic adj.
1834,basis,n.,B1,,,,,,General,,basis,,basis n.
1835,battery,n.,B1,,,,,,General,,battery,,battery n.
1836,battle,n.,B1,,,,,,General,,battle,,battle n.
1837,beauty,n.,B1,,,,,,General,,beauty,,beauty n.
1838,bee,n.,B1,,,,,,General,,bee,,bee n.
1839,belief,n.,B1,,,,,,General,,belief,,belief n.
1840,bell,n.,B1,,,,,,General,,bell,,bell n.
1841,bend,"v., n.",B1,,,,,,General,,bend,,"bend v., n."
1842,benefit,v.,B1,,,,,,General,,benefit,,benefit v.
1843,better,n.,B1,,,,,,General,,better,,better n.
1844,bite,"v., n.",B1,,,,,,General,,bite,,"bite v., n."
1845,block,"n., v.",B1,,,,,,General,,block,,"block n., v."
1846,board,v.,B1,,,,,,General,,board,,board v.
1847,bomb,"n., v.",B1,,,,,,General,,bomb,,"bomb n., v."
1848,border,n.,B1,,,,,,General,,border,,border n.
1849,bother,v.,B1,,,,,,General,,bother,,bother v.
1850,branch,n.,B1,,,,,,General,,branch,,branch n.
1851,brand,"n., v.",B1,,,,,,General,,brand,,"brand n., v."
1852,brave,adj.,B1,,,,,,General,,brave,,brave adj.
1853,breath,n.,B1,,,,,,General,,breath,,breath n.
1854,breathe,v.,B1,,,,,,General,,breathe,,breathe v.
1855,breathing,n.,B1,,,,,,General,,breathing,,breathing n.
1856,bride,n.,B1,,,,,,General,,bride,,bride n.
1857,bubble,n.,B1,,,,,,General,,bubble,,bubble n.
1858,bury,v.,B1,,,,,,General,,bury,,bury v.
1859,by,adv.,B1,,,,,,General,,by,,by adv.
1860,calm,"adj., v., n.",B1,,,,,,General,,calm,,"calm adj., v., n."
1861,campaign,"n., v.",B1,,,,,,General,,campaign,,"campaign n., v."
1862,campus,n.,B1,,,,,,General,,campus,,campus n.
1863,candidate,n.,B1,,,,,,General,,candidate,,candidate n.
1864,cap,n.,B1,,,,,,General,,cap,,cap n.
1865,captain,n.,B1,,,,,,General,,captain,,captain n.
1866,careless,adj.,B1,,,,,,General,,careless,,careless adj.
1867,category,n.,B1,,,,,,General,,category,,category n.
1868,ceiling,n.,B1,,,,,,General,,ceiling,,ceiling n.
1869,celebration,n.,B1,,,,,,General,,celebration,,celebration n.
1870,central,adj.,B1,,,,,,General,,central,,central adj.
1871,centre,v.,B1,,,,,,General,,centre,,centre v.
1872,ceremony,n.,B1,,,,,,General,,ceremony,,ceremony n.
1873,chain,n.,B1,,,,,,General,,chain,,chain n.
1874,challenge,n.,B1,,,,,,General,,challenge,,challenge n.
1875,champion,n.,B1,,,,,,General,,champion,,champion n.
1876,channel,n.,B1,,,,,,General,,channel,,channel n.
1877,chapter,n.,B1,,,,,,General,,chapter,,chapter n.
1878,charge,"n., v.",B1,,,,,,General,,charge,,"charge n., v."
1879,cheap,adv.,B1,,,,,,General,,cheap,,cheap adv.
1880,cheat,"v., n.",B1,,,,,,General,,cheat,,"cheat v., n."
1881,cheerful,adj.,B1,,,,,,General,,cheerful,,cheerful adj.
1882,chemical,"adj., n.",B1,,,,,,General,,chemical,,"chemical adj., n."
1883,chest,n.,B1,,,,,,General,,chest,,chest n.
1884,childhood,n.,B1,,,,,,General,,childhood,,childhood n.
1885,claim,"v., n.",B1,,,,,,General,,claim,,"claim v., n."
1886,clause,n.,B1,,,,,,General,,clause,,clause n.
1887,clear,v.,B1,,,,,,General,,clear,,clear v.
1888,click,"v., n.",B1,,,,,,General,,click,,"click v., n."
1889,client,n.,B1,,,,,,General,,client,,client n.
1890,climb,n.,B1,,,,,,General,,climb,,climb n.
1891,close,adv.,B1,,,,,,General,,close,sense 2,close2 adv.
1892,cloth,n.,B1,,,,,,General,,cloth,,cloth n.
1893,clue,n.,B1,,,,,,General,,clue,,clue n.
1894,coach,v.,B1,,,,,,General,,coach,,coach v.
1895,coal,n.,B1,,,,,,General,,coal,,coal n.
1896,coin,n.,B1,,,,,,General,,coin,,coin n.
1897,collection,n.,B1,,,,,,General,,collection,,collection n.
1898,coloured,adj.,B1,,,,,,General,,coloured,,coloured adj.
1899,combine,v.,B1,,,,,,General,,combine,,combine v.
1900,comment,v.,B1,,,,,,General,,comment,,comment v.
1901,commercial,"adj., n.",B1,,,,,,General,,commercial,,"commercial adj., n."
1902,commit,v.,B1,,,,,,General,,commit,,commit v.
1903,communication,n.,B1,,,,,,General,,communication,,communication n.
1904,comparison,n.,B1,,,,,,General,,comparison,,comparison n.
1905,competitor,n.,B1,,,,,,General,,competitor,,competitor n.
1906,competitive,adj.,B1,,,,,,General,,competitive,,competitive adj.
1907,complaint,n.,B1,,,,,,General,,complaint,,complaint n.
1908,complex,adj.,B1,,,,,,General,,complex,,complex adj.
1909,concentrate,v.,B1,,,,,,General,,concentrate,,concentrate v.
1910,conclude,v.,B1,,,,,,General,,conclude,,conclude v.
1911,conclusion,n.,B1,,,,,,General,,conclusion,,conclusion n.
1912,confident,adj.,B1,,,,,,General,,confident,,confident adj.
1913,confirm,v.,B1,,,,,,General,,confirm,,confirm v.
1914,confuse,v.,B1,,,,,,General,,confuse,,confuse v.
1915,confused,adj.,B1,,,,,,General,,confused,,confused adj.
1916,connection,n.,B1,,,,,,General,,connection,,connection n.
1917,consequence,n.,B1,,,,,,General,,consequence,,consequence n.
1918,consist,v.,B1,,,,,,General,,consist,,consist v.
1919,consume,v.,B1,,,,,,General,,consume,,consume v.
1920,consumer,n.,B1,,,,,,General,,consumer,,consumer n.
1921,contact,"n., v.",B1,,,,,,General,,contact,,"contact n., v."
1922,container,n.,B1,,,,,,General,,container,,container n.
1923,content,n.,B1,,,,,,General,,content,sense 1,content1 n.
1924,continuous,adj.,B1,,,,,,General,,continuous,,continuous adj.
1925,contrast,"n., v.",B1,,,,,,General,,contrast,,"contrast n., v."
1926,convenient,adj.,B1,,,,,,General,,convenient,,convenient adj.
1927,convince,v.,B1,,,,,,General,,convince,,convince v.
1928,cool,v.,B1,,,,,,General,,cool,,cool v.
1929,costume,n.,B1,,,,,,General,,costume,,costume n.
1930,cottage,n.,B1,,,,,,General,,cottage,,cottage n.
1931,cotton,n.,B1,,,,,,General,,cotton,,cotton n.
1932,count,n.,B1,,,,,,General,,count,,count n.
1933,countryside,n.,B1,,,,,,General,,countryside,,countryside n.
1934,court,n.,B1,,,,,,General,,court,,court n.
1935,cover,n.,B1,,,,,,General,,cover,,cover n.
1936,covered,adj.,B1,,,,,,General,,covered,,covered adj.
1937,cream,adj.,B1,,,,,,General,,cream,,cream adj.
1938,criminal,adj.,B1,,,,,,General,,criminal,,criminal adj.
1939,cruel,adj.,B1,,,,,,General,,cruel,,cruel adj.
1940,cultural,adj.,B1,,,,,,General,,cultural,,cultural adj.
1941,currency,n.,B1,,,,,,General,,currency,,currency n.
1942,current,adj.,B1,,,,,,General,,current,,current adj.
1943,currently,adv.,B1,,,,,,General,,currently,,currently adv.
